Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
108448645342531,BAZ PLUS,BAZ PLUS,3630,494
1960687214155123,بەیار عومەر عەبدوڵا Bayar Omar Abdullah,Bayar Omar Abdullah,2901,5
399110903587431,دژه تیرۆری کوردستان Kurdistan CT,ASO,2252,122
2003953506544982,ائتلاف النصر,Ahmed Abdulkareem Shihab Alwandi,1956,26
102687942750312,Wagon,Wagon,1440,160
638540889641531,Xwakurk  - خواكورك,Xwakurk  - خواكورك,1295,260
888362628037273,Rahi Rahber Said Braim,Rahi Rahber Said Braim,1254,9
381497365537157,R.C.D مركز الرافدين للحوار,R.C.D مركز الرافدين للحوار,1110,14
413266606135699,سعد الاوسي,Ali Muntasser,1000,1
467222586811080,شێخەی مەمەند ئاغای ھەمەوەند,شێخەی مەمەند ئاغای ھەمەوەند,732,14
105097522488856,عمار الحمداني,Ammar Al Hamadani,679,6
110735054899289,Lapere,Lapere,660,215
108153498939891,Mohammed Abdulhammed,Mohammed Abdulhammed,632,2
157533901579726,راكان سعيد الجبوري,أبرأهيم سعيد,628,11
110035949016294,Masrour Barzani,ASO,616,36
101225028723669,AsAn  ئاسان,AsAn  ئاسان,552,111
104005041772849,DAW- داو,DAW- داو,550,133
104886081432069,حركة البشائر الشبابية,حركة البشائر الشبابية,516,6
101537365554352,KURD POST,Ahmed Majeed Awla,508,173
108208211346225,ڕێچکە - Rechka,ڕێچکە - Rechka,507,116
381026846058940,هيبت الحلبوسي,هيبت الحلبوسي,503,6
503530246416243,النائب احمد المشهداني  Ahmed Al-Mashhadani,Mustafa Al-mashhadani,503,19
112048801639488,Zoom News,Zoom News,444,122
110855024479814,حسن قاسم الخفاجي,حسن قاسم الخفاجي,438,19
104081694467489,ريان الكلداني Rian Chaldean,ريان الكلداني Rian Chaldean,433,11
107461271287114,ملتقى البشائر,ملتقى البشائر,427,4
159370874867950,محمود حسين القيسي,Mahmood Mutlag,413,17
558014920898846,Erşat Salihi-ارشد الصالحي,Erşat Salihi-ارشد الصالحي,407,14
101488042777277,الافق,الافق,393,8
115033719858579,مشتەکۆڵە,mshtakolla,373,45
149007500632371,النائب اسامة كريم البدري,منتظر علاء مظلوم الربيعي,366,86
111160249521733,Rebaz Hamlan,Rebaz Khasraw Ali,354,9
118147190026744,دەنگێ بەھدینان Dengê Behdinan,dengebehdinan.net,353,143
115201561476661,کۆد میدیا,کۆد میدیا,352,11
422805185129170,حەقیقەت,Zhino Ali,349,26
871659792906041,الحضارات,الحضارات,348,10
110855024479814,حسن قاسم الخفاجي,احمد غازي سالم,346,8
1272142976242590,وكالة بغداد اليوم الاخبارية,وكالة بغداد اليوم الاخبارية,345,2
111995495119585,شبكة صلاح الدين,شبكة صلاح الدين,343,21
101964988731653,محسن المندلاوي,محسن المندلاوي,340,17
135202556677269,Rabun Maroof رابون مەعروف,Rabun Maroof,327,3
556915681040436,عبدالله حاجي محمود : Abdullah Haji Mahmood,Abdullah Mahmood Mohammed,321,17
1423684604555182,ر.المهندسين فاطمة حسن الخفاجي مديرة بلدية المحمودية,عمار احمد علي,317,4
102682039247529,الیقین,barqnews,298,174
381497365537157,R.C.D مركز الرافدين للحوار,مركز الرافدين للحوار R.C.D,294,7
563523023665939,KurdistanPress,kurdistanpress.net,288,69
109447781346241,النائب ياسر المالكي,النائب ياسر المالكي,287,4
112206986837937,داركا مازى - كوردى,Darka Mazi,278,47
754878457919560,النائب عادل خميس المحلاوي,مصطفى ريكان عجيل,275,6
267078350122003,الدكتور ماجد شنكالي,الدكتور ماجد شنكالي,271,37
945981242085442,المهندس محمد شياع السوداني,البرلماني,262,1
1635087666704849,Srwa Abdulwahid Qadir,نەوەی نوی,261,3
105349854354740,موسوعة الرافدين الإخبارية,موسوعة الرافدين الإخبارية,260,1
106053335295019,AYM - ايم,AYM,259,15
108795692206179,حكومة السوداني,Ali Qasim,254,11
115373991478024,هادي العامري - المكتب الإعلامي,هادي العامري - المكتب الإعلامي,253,2
109036331812035,بغداد بودكاست,Alaulddin Al-bayyeni,250,2
109558980788677,جماهير محمد الحلبوسي,TQ Media,246,6
199619564219576,مركز الرافدين للحوار R.C.D - العلاقات العامة,R.C.D مركز الرافدين للحوار,244,4
143435839066780,د.خالد شواني,Dashti Salam Saeed,241,11
335087470495241,Bra Gawra برا گەورە,Diyar Hamad,241,73
104043631791120,النائب الحقوقي علي حاتم المكصوصي,النائب الحقوقي علي حاتم المكصوصي,239,22
276686282715100,وزارة العدل العراقية,Wahab Mohammed,238,25
147415918619707,KNN,KNN,235,5
237581247129000,طب الصادق للاعشاب,These ads ran without a disclaimer,233,3
114491311536369,Mil-ميل,Mil-ميل,230,10
194778987219047,BasNews,Diyar Azeez Mustafa,224,24
108314488369210,Dr. Muhannad Al-khazraji / د.مهند الـخزرجي,Ahmed Alzobidy,222,12
100718729559772,مەکتەبی ڕێکخستنی پارێزگای سلێمانی ـ هەلەبجە ـ ڕاپەرین پ.د.ک,Rawand Mziri,220,27
100640668153417,باسم خضير كاظم الغرابي,باسم خضير كاظم الغرابي,215,24
110666778648167,دولة تقدم,jiballco,214,13
585609641479524,مانامیدیا,مانامیدیا,212,10
107361218100874,Dw Der - دوو دێر,Dw Der - دوو دێر,208,54
102213691670920,إقتصاديون,عدي صادق العلوي,204,8
102221762283932,مقراب الشرق کوردی,مقراب الشرق,204,3
2261705107489621,Property Tech,These ads ran without a disclaimer,200,1
596682987134503,وزارة النقل العراقية,همام صفاء الصالحي,198,23
234315270085663,Yerdili - يردلي,JIBALL,197,33
355786234434317,Pshtiwan Sadq,Shwan Azeez Ismail,196,50
1007330429412535,المستشفى البريطاني للعقم واطفال الانابيب والجراحات التخصصية,These ads ran without a disclaimer,193,16
101443799198965,الرقيب العراقي,الرقيب العراقي,191,3
152131781906555,وزارة النفط العراقية,وزارة النفط العراقية,190,7
1812321035741592,COC Media,Civilan Organization for Community Media,185,11
111219755094237,بە پەلە,Yaseen Ismael,181,6
105422902310482,964عربي,964Media,179,12
119288358266240,Sebar Media,Sebar Media,176,68
116524261377273,القرار بوست,القرار بوست,176,14
116944031282422,شبابيك نيوز,صحيفة شبابيك نيوز,173,2
927958880553492,ئاژانس میدیا,ئاژانس میدیا,173,65
103897361202668,فخر الغربية,TQ Media,171,5
845122485513259,محمود خلف العبيدي,محمود خلف العبيدي,169,17
1816623088651940,مشرق الفريجي,مشرق الفريجي,168,29
156490947738645,وزارة الصحة العراقية,وزارة الصحة العراقية,167,17
1534502189991202,النائب طه المجمعي,Yaseen. T. Yaseen,166,6
1938942153041498,Saeed Salim Pshdari / سەعید سەلیم پشدەری,Saeed Salim Pshdari / سەعید سەلیم پشدەری,164,16
238567589508195,ڕادیۆ و تەلەفزیۆنی سلێمانی,Mariwan Ali,163,142
103079074842359,مع المالكي,مع المالكي,163,2
117411464290585,Nabaz Abdulhamid,Nabaz Abdulhamid,162,5
100777926142279,عمار موسى كاظم,عمار موسى كاظم,162,3
101088546158554,پوک میدیا,PUKMEDIA Official,156,2
117047644589192,ديكور للأشجار ألأصطناعية,These ads ran without a disclaimer,155,8
104614759018251,خطاب عادل,Alaulddin Al-bayyeni,153,1
1687718561336574,Dler Abdulkhalq دلێر عەبدولخالق,Dler Abdulkhalq دلێر عەبدولخالق,150,5
122111094117255,Hawre Mala Star,Hawre Mala Star,148,2
1298625980153968,Tech 4 Peace التقنية من اجل السلام,Tech For Peace,147,3
754898164888670,الحملة الوطنية لتعديل المادة ٥٧ احكام الحضانة,الحملة الوطنية لتعديل المادة ٥٧ احكام الحضانة,145,8
107794285545259,عاصمة الشمال,عاصمة الشمال,142,18
112675444991226,وزير الفقراء,علي محمد اسماعيل,132,8
116970674706400,احمد حاتم - Ahmed Hatem,Ahmed Al-bayati,131,11
2452514564770158,المكتب الإعلامي لوزير الداخلية,المكتب الإعلامي لوزير الداخلية,128,5
110534435683482,Kurdistan Democratic Party,KDPinfo,128,36
101470755448480,محمد رسول الرميثي,Mohammed Rasool Dakhil,126,27
101537365554352,KURD POST,KURD POST,126,49
1795382547357634,یەکێتیی نیشتمانیی کوردستان مەکتەبی سیاسی/کەرکوک,یەکێتیی نیشتمانیی کوردستان مەکتەبی سیاسی/کەرکوک,126,8
204803838632,Haider Al-Abadi,Ahmed Abdulkareem Shihab Alwandi,124,5
635049550029076,Nabaz hariri,Rawand Mziri,124,19
388904618235487,المرصاد برس,المرصاد برس,123,2
109425338712897,مملكة نينوى,مملكة نينوى,120,16
1066183836729650,محمد توفيق علاوي,Mohammed Allawi,119,3
101643555790443,همام علي مهدي  التميمي,حسن علي بكي,119,9
108073001676806,مقراب الشرق,مقراب الشرق,117,1
302342846473745,Kurdistan TV,kurdistantv,116,12
100451412934737,Sangar kanabe gawra سەنگەر کانەبی گەورە,Shivan Abwbaker Aswad,116,50
187768129414110,ابو تراب التميمي البصري,حسنين محمد,115,3
659208437434246,KNN +,KNN +,114,2
106273938637262,Draw  درەو,Draw  درەو,113,14
102972181270368,رئيس مسلفن,رئيس مسلفن,113,3
102750359160656,السيادة بلس نيوز,السيادة بلس نيوز,112,7
114111234918913,Mana Media::مانامیدیا,Mana Media::مانامیدیا,110,2
101834821974169,Salar Sarhad Khalifa  سالار لالە سەرحەد,Salar Sarhad Khalifa  سالار لالە سەرحەد,109,5
136517036537211,مەڵبەندی سلێمانی یەكگرتوو,kurdiu,109,6
668246513252365,المهندس نصيف جاسم الخطابي محافظ كربلاء المقدسة,المهندس نصيف جاسم الخطابي محافظ كربلاء المقدسة,107,12
200480966638039,Supremacy 1914,These ads ran without a disclaimer,107,2
1951151558245122,Karwan Gaznay,Karwan Gaznay,106,13
418944648163190,باقر جبر الزبيدي,حيدر العامري,105,12
107308984269686,كلام العاصمة,كلام العاصمة,105,2
194778987219047,BasNews,BasNews Agency,104,17
103148919323302,Mosul.net,Mosul.net,103,17
455049811223870,Leqa Ek PDK,Waraz Mustafa Sadeeq,102,37
495880830884336,علاء اسماعيل السعداوي,These ads ran without a disclaimer,≤100,1
109036331812035,بغداد بودكاست,Hind Al Dayyeni,≤100,1
119534327768767,فريق الشيخ - Team Sheikh,Moh Fakhri,≤100,3
1311267208954125,بيت شباب بغداد,احمد عبد الحسين,≤100,1
100541436251475,قەڵاى هەمەوەند بۆ هەموان,قەڵاى هەمەوەند بۆ هەموان,≤100,7
105314851937437,النائب الشيخ أحمد فواز الوطيفي - Ahmed Fawaz AL-Wataifi,النائب الشيخ أحمد فواز الوطيفي - Ahmed Fawaz AL-Wataifi,≤100,2
152858888093521,NRT,NRT,≤100,1
100383941466678,مكتب الوكيل الاقدم لوزارة الداخلية,مكتب الوكيل الاقدم لوزارة الداخلية,≤100,6
103721784528052,رجل الصولات,رجل الصولات,≤100,2
102796834888985,محمد هيبت الحلبوسي,محمد هيبت الحلبوسي,≤100,3
100333398208632,ابن الفرات ودجلة,ابن الفرات ودجلة,≤100,2
580593188967461,حراك الجيل الجديد,NGM,≤100,2
111763060956749,قلم دولة القانون,قلم دولة القانون,≤100,2
476291155820178,مەکتەبی ڕێکخستنی  پارێزگاى هەولێر  pdk,مەکتەبی ڕێکخستنی  پارێزگاى هەولێر  pdk,≤100,17
101859606204759,وزير دولة خدمات,Wahab Mohammed Ghazi,≤100,5
570578883145171,پەرەگراف Peregraf,PEREGRAF WEBSITE,≤100,20
104087085980868,بتوقيت كركوك,Wahab Mohammed Ghazi,≤100,5
132126192341800,أنا البرلمان,أنا البرلمان,≤100,4
133439963658698,U.S. Consulate General Erbil,U.S. Consulate General Erbil,≤100,15
116831387964200,ديالى ميتر,ديالى ميتر,≤100,11
115098733693590,سلام الشمري,Mohammed Aqeel Hasan,≤100,3
126235303730857,خان خورما,Wahab Mohammed Ghazi,≤100,4
124905207196086,بتوقيت العاصمة,Wahab Mohammed Ghazi,≤100,4
109270047986249,النائب السيد حسين نعمة البطاط,علي حبيب,≤100,2
108314488369210,Dr. Muhannad Al-khazraji / د.مهند الـخزرجي,علي جبار عذاب,≤100,2
107128119006927,مشروع حكومة,Wahab Mohammed Ghazi,≤100,4
108160411542178,تقي الوائلي - Taqi Alwaily,تقي الوائلي - Taqi Alwaily,≤100,4
599676433390515,Wishe.net,Wishe.net,≤100,62
112422380482930,النائب الشيخ أحمد صلال البدري,النائب الشيخ أحمد صلال البدري,≤100,17
100344203046246,دعم .حسين العوادي,Mustafa Najm,≤100,9
109531878761962,ترند كركوك,Wahab Mohammed Ghazi,≤100,5
105299271778182,النائب الحقوقي طالب اليساري,Zakariya Wahhab,≤100,3
1467421263528149,Iraqi Private Banks League رابطة المصارف الخاصة في العراق IPBL,Iraqi Private Banks League,≤100,5
418944648163190,باقر جبر الزبيدي,باقر جبر الزبيدي,≤100,11
407001929890342,الاعلامي بهاء المستشار,الاعلامي بهاء المستشار,≤100,24
110534435683482,Kurdistan Democratic Party,KDP,≤100,10
851066974942822,الكرمة مدينتي Alkrmt Madinatay,ايمن محمد,≤100,3
584924188225914,لقی 26ـی گوڵان,Shwan Khudhur,≤100,29
107713992218075,الشرق العراقي,الشرق العراقي,≤100,12
108605772196929,دولة القانون_ بشائر ميسان,دولة القانون_ بشائر ميسان,≤100,5
103560309271906,کتلة الحزب الديمقراطي الكوردستاني في مجلس النواب العراقي,کتلة الحزب الديمقراطي الكوردستاني في مجلس النواب العراقي,≤100,119
335161733930749,محافظة المثنى,Salim Challab Hwaidi,≤100,10
105835761935325,حسين العوادي,حسين العوادي,≤100,3
1552049018218939,نەوەی نوێ لە هەڵەبجە,نەوەی نوێ لە هەڵەبجە,≤100,2
130783806990987,"Hakim Qadir ,  حاکم قادر",Bestun Hama Ahmed,≤100,2
106210025745999,واحد تعليم,واحد تعليم,≤100,5
101816602823868,بەشی ڕێکخراوە جەماوەریی و پیشەییەکانی پ.د.ک,Anas Abdulazeez Hama,≤100,17
104972417745437,شيخ الشباب,شيخ الشباب,≤100,4
102310714635446,احمد الذواق,احمد الذواق,≤100,4
211290489606653,Dilan Mamosta Ghafoor - دیلان مامۆستا غفور,Shalaw Ghafour,≤100,1
711506772983323,Raz Press,Raz Press,≤100,27
544132379058771,مؤسسة المدى,مؤسسة المدى,≤100,11
623269431104113,المعهد الوطني لحقوق الانسان,Sameer Nooruldeen Hasan,≤100,4
108465442152314,عاهد محمود,عاهد محمود,≤100,1
104873241723624,السيد النائب حسين السعبري,ابراهيم احمد عباس,≤100,2
101561802405974,الصندوق اسود,الصندوق اسود,≤100,2
113153977690492,Dr.Narmin Maruf د.نەرمین معروف,Ariwan M Ghafoor,≤100,5
424733244779035,KURD,KURD,≤100,17
102482024863105,من الانبار,بلال رافع,≤100,10
224633614313076,لقی دووی پارتی دیموکراتی کوردستان,لقی دووی پارتی دیموکراتی کوردستان,≤100,10
109718124824252,بەڵگە نیوز,بەڵگە نیوز,≤100,28
356862647798607,سرمد بليبل Sarmad Bleebl,سرمد بليبل Sarmad Bleebl,≤100,4
109499431675573,Media 24,Media 24,≤100,25
415565805306148,كوردستان نیوز Kurdistan News,دلیر خليل اسماعيل,≤100,29
105892975326488,غريب التركماني - Ghareb AlTurkmani,Ibrahim Yousri,≤100,7
104601685777488,النائب سعود الساعدي,النائب سعود الساعدي,≤100,5
384932871690609,شركة شمس العراق لاستيراد السيارات,These ads ran without a disclaimer,≤100,1
113851890805213,نمير الكواك _Nmeer alkawak,نمير الكواك _Nmeer alkawak,≤100,4
106862069005610,المكتب النسوي للنائب ارشد الصالحي,المكتب النسوي للنائب ارشد الصالحي,≤100,2
110993001443459,بەشی ڕۆشنبیری و ڕاگەیاندنی پ.د.ك,Kdp media,≤100,21
101233868319292,سيادة وطن,فهد محمد ابراهيم,≤100,3
333432230097459,فەرماندەیی هێزەكانی پشتیوانی/1,فەرماندەیی هێزەكانی پشتیوانی/1,≤100,16
101741622757697,Chaw+,Chaw+,≤100,5
299448460955468,Kurdish Press,Kurdish Press,≤100,26
1650607098561130,Hawler Newspaper ڕۆژنامەی هەولێر,Rawa Majeed,≤100,4
1429071667366733,Iraqi Observatory for Human Rights - المرصد العراقي لحقوق الإنسان,Iraqi Observatory for Human Rights - المرصد العراقي لحقوق الإنسان,≤100,4
474047392637397,لقى 16 ى پارتى دیموكراتى كوردستان,Krmanj S. Jabar,≤100,19
106882150782236,CTG Kurdistan,CTG Kurdistan,≤100,5
102208414468987,فالح الخزعلي,فالح الخزعلي,≤100,6
133227943495329,زارى کرمانجى,Abdullah Hamad,≤100,10
1130948176931386,بــاران,بــاران,≤100,24
108726485222811,Arazoo Jabar Shwany,Arazoo Jabar Shwany,≤100,15
474239689335896,Omar Gulpi,Omar Abdullah Fattah,≤100,7
108131808506762,شئ من التاريخ,These ads ran without a disclaimer,≤100,3
102708061990212,تقدم,تقدم,≤100,3
341118959242786,بزوتنەوەی گۆڕان Gorran Movement,بزوتنەوەی گۆڕان Gorran Movement,≤100,5
170375086953470,صالح الحسناويّ :: Salih Al hasnawi,صالح الحسناويّ :: Salih Al hasnawi,≤100,1
102948571453586,الانبار خيمتنا,jibalco,≤100,5
100856642910582,وزير النقل - رزاق محيبس السعداوي,همام صفاء الصالحي,≤100,7
382364165660465,عادل فرج الحلبوسي,عادل فرج الحلبوسي,≤100,6
1763625873685085,محمد ابزر        Mohamed Abzar,محمد ابزر,≤100,6
101905792847348,TNT للعناية بالسيارات,These ads ran without a disclaimer,≤100,3
105502651142922,اتحاد شباب الأنبار,اتحاد شباب الأنبار,≤100,2
102931894760527,كمامات وطن,احمد جمال,≤100,2
100948124964887,Fahmi Burhan  فەهمی بورهان,Fahmi Burhan Omer,≤100,5
109855202108366,تكريت بلاس,هيثم سبتي الحمام,≤100,2
720944991294083,د. قتيبة ابراهيم الجبوري,Ali Jamal,≤100,4
102686885395256,مشاريع محافظة المثنى,Salim Challab Hwaidi,≤100,6
103144369375694,اعمار نينوى,اعمار نينوى,≤100,3
104340502161086,الجمهورية الرابعة,JIBALLCO,≤100,6
100679826254899,رجل الإعمار الاول,بلال رافع,≤100,4
109435514965568,Astera,Astera,≤100,22
103749749110377,أ . باسم محمد خضير - وكيل وزارة النفط,Ahmed Sttar,≤100,1
441049192623245,راگەیاندنی مەکتەبی مامۆستا عەلی باپیر,Anas Abdulazeez Hama,≤100,14
443762046175773,البصرة هويتي,علي محمد اسماعيل,≤100,3
106786885042267,Wahab Halabjay _ وەهاب هەڵەبجەی,Wahab Halabjay _ وەهاب هەڵەبجەی,≤100,2
422107591268917,شروكي وافتخر,زيد محمد شيحان,≤100,3
152421998162279,Abubakr Ali (Abubakr Karwani),Abubakir Ali,≤100,6
1989452011070870,مەلیک,NGM,≤100,1
102005862484407,ألق ذي قار,These ads ran without a disclaimer,≤100,1
102119931136710,ژووری بازرگانی و پیشەسازی هەڵەبجە,Kizhan Baqi Hama Amin,≤100,10
112805336829620,حجاية وستوتة,jiball,≤100,42
102293958597480,حركة إنجاز,حركة إنجاز,≤100,11
101121842577001,سيد علي,jib.org,≤100,4
1361588403951717,Dosti Ahmed Musa,Dosti Ahmed Musa,≤100,1
626596557359682,حركة الصادقون,علي الربيعي,≤100,1
106909922328678,فەرماندەیی هەڵگورد یەکەی 43,Abdullah Hamad,≤100,8
102660132559740,Ararat News - Sorani,Ararat News - Sorani,≤100,4
102915589136329,Gorran Radio ڕادیۆی دەنگی گۆڕان,KNN,≤100,5
179158259303,U.S. Embassy Baghdad,U.S. Embassy Iraq,≤100,1
109253885223452,Ararat News,Ararat News,≤100,1
110911114568956,عراقيين iraqeen,ثامر غافل عيسى,≤100,1
102544398565724,النائب نهله الفهداوي,Moh Fakhri,≤100,2
437591407047522,Rewaq Baghdad Center For Public Policy- مركز رواق بغداد للسياسات العامة,Rewaq Baghdad Center For Public Policy,≤100,6
2383265178621061,Meyser Obaid Nheli,Meyser Obaid Nheli,≤100,15
103394661564021,الوطن محتاجك,الوطن محتاجك,≤100,2
522721454528146,ئاژانسی راگەیاندنی پارتی,ئاژانسی راگەیاندنی پارتی,≤100,18
492511684171110,الغد برس,الغد,≤100,5
108018192094247,PalaPress,PalaPress,≤100,12
360476314014065,Baraw Amanj,NGM,≤100,1
1850158471871767,بەشی پەیوەندی گشتی پارتی دیموکراتی کوردستان,Rawand Mziri,≤100,12
486820705424112,سيروان روژبیاني Sirwan  Rozhbayani,سيروان روژبیاني Sirwan  Rozhbayani,≤100,2
100942605827830,مؤسسة الضاري للتنمية والتطوير,مؤسسة الضاري للتنمية والتطوير,≤100,27
255245098232272,Kawa Aban,Kawa Aban,≤100,12
105638079142715,IQ FM Mosul,IQ FM Mosul,≤100,8
166029613463380,ROJ GULL,Mic,≤100,1
106104881791665,نووسینگەی ڕێکخەری ڕاسپاردە نێودەوڵەتییەکان,نووسینگەی ڕێکخەری ڕاسپاردە نێودەوڵەتییەکان,≤100,2
104423394462767,Kobas کۆباس,Kobas.krd,≤100,1
101789536156376,KurdiaNews,KurdiaNews,≤100,1
1159516580738783,مديرية بلدية الكرمة,مديرية بلدية الكرمة,≤100,1
106976778974435,Draw Plus,draw media,≤100,7
235830259858673,العراق,Aymen Jawad,≤100,3
102293958597480,حركة إنجاز,حيدر العامري,≤100,11
108818098423791,مكتب النائب أسامة البدري في بغداد,مكتب النائب أسامة البدري في بغداد,≤100,8
316778782455942,Hawpaimani _ هاوپەیمانی,Hawpaimani _ هاوپەیمانی,≤100,9
158808741464939,Dr. Bryar R Sharif  د.بڕیار ڕشید شریف,Sana Sulaiman Haji Rasul,≤100,3
147161912626120,شـيروان الدوبـرداني,شـيروان الدوبـرداني,≤100,1
102926700207592,Baghdad News,Baghdad News,≤100,3
134532296688934,Shorsh Ismail,Hunar Omer Khdhir,≤100,3
107828178238463,مكتب النائب حسين حبيب,These ads ran without a disclaimer,≤100,1
1854491004868362,حركة البشائر الشبابية مكتب واسط,مصطفى عباس,≤100,7
2078501495717431,اصلاحات بطيخ,فهد محمد ابراهيم,≤100,1
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,5
103618442597978,Znar Blnd Ismail,Sarbast Faqe Aomar,≤100,2
106561495556462,Lutke News,Lutke News,≤100,5
310379295673630,Yousif Mohammed Sadiq,Yousif Mohammed Sadiq,≤100,2
101476765871644,دولة ويستفاليا   Westphalia State     1648,محمد علاوي صبري,≤100,4
100642098847777,Shwan Kalary شوان کەلاری,Shwan Kalary شوان کەلاری,≤100,18
2200025410238656,مركز نداء الرافدين للبحوث والدراسات الإستراتيجية,مركز نداء الرافدين للبحوث والدراسات الإستراتيجية,≤100,20
106593577812125,Tîr تير,Tîr تير,≤100,4
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,2
104249752332378,متابعة,متابعة,≤100,8
1160815700740657,المهندسة ليلى مهدي التميمي,Layla Abdulhussein,≤100,1
100745995482650,المهندس خالد حسن السامرائي,المهندس خالد حسن السامرائي,≤100,2
109819321970738,ڕۆژنیوز  Rojnews,ڕۆژنیوز  Rojnews,≤100,6
100808482283903,النائب داود العيدان,النائب داود العيدان,≤100,2
1434120716833949,Karim Shkur-ملاکریم,Karim Shkur-ملاکریم,≤100,15
1619055278323816,لیوای 3 پێشمەرگەی بەرگری و فریاکەوتن,Abdullah Hamad,≤100,3
232618167205716,حركة البشائر الشبابية / مكتب المثنى,Mohammed Rasool Dakhil,≤100,7
219469091575732,Dr. Dindar Zebari,Dr. Dindar Zebari,≤100,3
1971961376379162,Krmanj Abdulla - كرمانج عه بدوڵڵا,Krmanj Abdulla,≤100,5
